,about,after,all,also,and,and the,are,article,bank,banks,because,been,between,business,but,can,capital,centermwparseroutput,central,citation,countries,currency,debt,demand,during,economic,economics,economy,example,exchange,federal,federal reserve,financial,first,for,for the,free,from,from the,gold,goods,government,growth,had,has,have,his,income,inflation,insurance,interest,international,into,its,july,many,market,markets,may,monetary,money,more,most,national,new,not,often,one,only,other,over,people,policy,political,price,prices,production,public,rate,rates,reserve,retrieved,since,social,some,state,states,such,supply,system,tax,than,that,that the,the,the united,the world,their,theory,there,these,they,this,those,through,time,trade,two,unemployment,united,united states,university,used,value,was,wealth,were,when,where,which,while,who,will,with,with the,work,world,would
random,0.1619222574657533,0.0,0.0,0.0,0.22202587237027768,0.0,0.0,0.44290841508610374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1377257477316308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12264331550916896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16895134345929771,0.0,0.0,0.14185950217221505,0.0,0.0,0.0,0.0,0.0,0.14913115956822495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3734474198045398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31768668246930165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5702580119216731,0.0,0.1835456632678793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1553327851558425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,0.0,0.02481478332305725,0.012084597550578847,0.0,0.3831189340532161,0.033228912362773644,0.03240799747441018,0.011076304120924549,0.016230019080737478,0.0,0.0,0.03625379265173654,0.025905885944339145,0.014508401623615878,0.01147603907264903,0.0103327835859297,0.0,0.04092820621161576,0.04512505185516683,0.0511602577645197,0.0,0.0,0.0,0.0,0.026481029883553126,0.0,0.0,0.0,0.04178563505962342,0.0,0.0,0.0,0.0,0.023548930688214915,0.12881727647912666,0.010856641171970239,0.0583792867726964,0.028544644209242253,0.0,0.0,0.0,0.01377039259484343,0.0,0.03742068721391313,0.044305216483698194,0.024043180766579953,0.0,0.0,0.0,0.0,0.0,0.0,0.012407391661528626,0.04833839020231539,0.0,0.025350926711521022,0.0,0.0,0.010642915792401092,0.0,0.0,0.011774465344107457,0.0,0.0,0.15663853944258854,0.01147603907264903,0.0,0.022264373479560822,0.012341770059546689,0.022835363849397203,0.012882654885745831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01124515091321093,0.0,0.014859897608754068,0.0,0.08405294071265208,0.0,0.0,0.0,0.0,0.0,0.012952942972169573,0.0516639179296485,0.0,0.8341981998669357,0.0,0.0,0.011897062492230468,0.0,0.038026390067281535,0.0,0.024043180766579953,0.0855664641125909,0.014008823452108682,0.01377039259484343,0.035877243904749834,0.0,0.02494712480927542,0.0,0.0,0.0,0.0,0.0,0.0,0.1939971453701706,0.0,0.05826869990724389,0.011653739981448778,0.0,0.03161454314171597,0.0,0.035506578973250956,0.013538941213234993,0.12251188604088857,0.057088409623493,0.05980107357674482,0.012607588624355395,0.012952942972169573
random,0.022484831753444266,0.04018828172985839,0.02795909453489579,0.010863960950264852,0.23123200278133044,0.026907607336854936,0.013746259614210683,0.0,0.0,0.0,0.004751869507662872,0.019571366174427056,0.013485649811399414,0.0016783420831647056,0.02787868135237422,0.0011953036577283043,0.0,0.004734603621779122,0.0,0.007101905432668683,0.0017615565781146393,0.0,0.0,0.0,0.012253376495110477,0.0,0.0,0.0,0.001611263864246637,0.0,0.00594646328685825,0.0,0.0,0.02860364672383197,0.08408801169746043,0.028885789032388674,0.008441696087344191,0.13868670805120675,0.10401872350667665,0.0,0.0,0.012743749445703794,0.0,0.04906031543851627,0.014094460985971632,0.02364132222794495,0.019373569272560412,0.0,0.0,0.0,0.0036123726815449667,0.01911562416855569,0.02727061974526105,0.004193864180234369,0.5846509392148859,0.011730451982501984,0.0,0.0,0.004924719876210097,0.0,0.003458915082654904,0.029965725139252535,0.004446645671202777,0.0015487702921182518,0.018120056186205234,0.022568456332874368,0.0,0.016741129283595505,0.0028554092461795214,0.013208054590395864,0.014902745594277242,0.014584954766709205,0.0,0.0,0.0,0.0,0.009326107886366704,0.005126002074395966,0.0,0.0,0.0,0.17821603222293772,0.004725096748459933,0.0017190033854380454,0.00875072820745805,0.0016205505296343562,0.0029968110691998696,0.004352009187852069,0.0037549999979913772,0.01611263864246637,0.0,0.026971299622798827,0.0537886645977737,0.015401812272859047,0.6938855059545174,0.0,0.005317534630766716,0.059179203201317095,0.0,0.002932612995625496,0.0045198283028687275,0.051454642496115484,0.00618649289190154,0.0032411010592687125,0.014336718126416768,0.01383434918962012,0.0035896462108070274,0.017315405448888096,0.0,0.004646310876354755,0.0016783420831647056,0.0,0.009089325470545192,0.0,0.07630186820161021,0.0,0.12537449232806977,0.010784902565855464,0.013412471034849518,0.017066898523073765,0.016941993500144952,0.027382839849620956,0.007830971112172085,0.05886939171090103,0.017170470967514624,0.001729457541327452,0.007292273506215043,0.029968110691998697
random,0.0,0.0,0.0,0.0,0.1552135217648201,0.2064185108725848,0.0,0.2064185108725848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1925622281305023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19834186613380678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23000179206083698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2095651474265167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7402931360721214,0.0,0.28554984335043193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18076698429214139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23495559900862967,0.0
random,0.0,0.0,0.0,0.12755278848104332,0.407231122366507,0.06769709953752749,0.06602465367764919,0.13539419907505498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25014849895336105,0.0,0.31268562369170133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05623688637315143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2030912986125825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075832553814122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07196418080426237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06978356149358161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5498325740247841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06315278736297694,0.0,0.4855736814278011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13074310200550965,0.0,0.0,0.0,0.0,0.07623698180145626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07122632124358369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11793505449749454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11001841246082714,0.0,0.4357834686872697,0.0,0.5447293358590871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20261958222863602,0.23351500300760114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16015647432696017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47893140935945433,0.0,0.0,0.0,0.14915908223837324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3383669845411419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,0.0,0.0,0.0,0.07658675750216405,0.12225726927425405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3003942549122498,0.0,0.37549281864031225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17283834653029295,0.0,0.0,0.0,0.06983486388039355,0.08048327940319282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09826412834032891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08253424820243171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7580401573551213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09155022492970068,0.0,0.0,0.0,0.2056366732192199,0.0,0.0,0.21357750558600114,0.0,0.0,0.0,0.0,0.0,0.0,0.08686733284461728,0.0,0.0691677717409439,0.08380054666606647,0.0,0.0,0.0
random,0.0,0.0,0.0,0.0,0.32302036925286515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11127206610562244,0.0,0.0,0.39684128280962816,0.0,0.49605160351203514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11416561740805031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3271000999198432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5392276124376449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26254807118419327,0.0,0.0,0.0,0.0,0.0
random,0.0,0.028196467129558027,0.05492580018496061,0.04742736235027648,0.1324915037290576,0.0,0.0,0.0,0.03688359423206381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06555370920564588,0.09301155735220955,0.0,0.11626444669026194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11065078269619144,0.0,0.0,0.0,0.08027432374993058,0.14637210628343247,0.04934460590811243,0.03316751992357459,0.04324616293938379,0.024920167532134475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028196467129558027,0.0,0.6494777319093679,0.0,0.0,0.0,0.3144258064357379,0.0,0.0,0.0,0.0,0.030425680449385564,0.1017055811590939,0.0,0.0,0.05059699025405766,0.05609467699542221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22999691076648607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02348180831921998,0.0,0.5055361140357869,0.0,0.0,0.13518358275922476,0.0,0.028805674521488057,0.0,0.0819591387136928,0.048613601846391775,0.0,0.0,0.0,0.10577820586968946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04408689821261096,0.0,0.05296750602984558,0.02648375301492279,0.08782958536410534,0.02394858513454775,0.0,0.0,0.0,0.042833057310544424,0.0,0.0,0.0,0.0
random,0.06304119305655484,0.0643867005842443,0.0,0.0,0.5186480019254305,0.057479178256724425,0.0,0.1724375347701733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24688179300986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06271159848873101,0.0780570507728338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059553555801325174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7421097430764073,0.0,0.0,0.0,0.0,0.0,0.06758579810557101,0.0,0.11100927687228157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2013450764495071,0.0,0.0,0.0,0.0,0.0,0.06909181311639684,0.0,0.0,0.04890469475288888,0.0,0.0,0.0,0.0
